B4,B3,B2,B8,B11,B12,NDVI,NDBI,MNDWI,NDSLI,class,sample
0.05305,0.08305,0.09285,0.3152,0.1645,0.0636,0.7118805,-0.31415468,-0.32902443,-0.512296,1,train
0.0517,0.0812,0.09265,0.30705,0.1645,0.0636,0.711777,-0.3023009,-0.3390313,-0.5217391,1,train
0.05115,0.0814,0.0939,0.31355,0.1717,0.06715,0.7194955,-0.29232353,-0.35677597,-0.54094684,1,train
0.0528,0.0798,0.09255,0.28905,0.16755,0.06785,0.6910926,-0.26609728,-0.35476044,-0.52076244,1,train
0.05625,0.0829,0.09525,0.29145,0.1642,0.0671,0.6764452,-0.2792714,-0.32901657,-0.4896802,1,train
0.05355,0.0831,0.09245,0.30525,0.1642,0.0671,0.701505,-0.30045798,-0.32794175,-0.50815153,1,train
0.053,0.08305,0.0941,0.31315,0.1645,0.0636,0.71050113,-0.31121114,-0.32902443,-0.5126437,1,train
0.0525,0.08165,0.0935,0.31735,0.1645,0.0636,0.7161011,-0.3172149,-0.3365834,-0.516129,1,train
0.0522,0.0828,0.0934,0.32075,0.1717,0.06715,0.7200697,-0.30267033,-0.34931237,-0.53372043,1,train
0.0561,0.08525,0.0952,0.3296,0.1811,0.07325,0.70910037,-0.2907774,-0.35986483,-0.5269815,1,train
0.05345,0.083,0.09395,0.32045,0.1811,0.07325,0.7140947,-0.2778387,-0.37145022,-0.5442336,1,train
0.0552,0.08715,0.0943,0.33725,0.179,0.07095,0.7186903,-0.3065375,-0.34510615,-0.528608,1,train
0.05445,0.08505,0.09435,0.33325,0.179,0.07095,0.7191127,-0.30112246,-0.35580382,-0.53351897,1,train
0.05365,0.0843,0.0951,0.32505,0.1761,0.06875,0.7166623,-0.2972164,-0.3525346,-0.5329706,1,train
0.0526,0.0826,0.09405,0.32555,0.1761,0.06875,0.7218035,-0.29791686,-0.3614225,-0.5400087,1,train
0.0533,0.0832,0.09335,0.31975,0.1778,0.06855,0.7142474,-0.285298,-0.36245212,-0.5387278,1,train
